,Songs,Artists
0,Break My Soul,Beyonce
1,As It Was,Harry Styles
2,About Damn Time,Lizzo
3,Running Up That Hill (A Deal With God),Kate Bush
4,Staying Alive,DJ Khaled Featuring Drake & Lil Baby
5,Bad Habit,Steve Lacy
6,Wait For U,Future Featuring Drake & Tems
7,Sunroof,Nicky Youre & dazy
8,First Class,Jack Harlow
9,Bad Decisions,"benny blanco, BTS & Snoop Dogg"
10,Me Porto Bonito,Bad Bunny & Chencho Corleone
11,Late Night Talking,Harry Styles
12,I Like You (A Happier Song),Post Malone Featuring Doja Cat
13,Heat Waves,Glass Animals
14,The Kind Of Love We Make,Luke Combs
15,Titi Me Pregunto,Bad Bunny
16,Wasted On You,Morgan Wallen
17,You Proof,Morgan Wallen
18,I Ain't Worried,OneRepublic
19,Stay,The Kid LAROI & Justin Bieber
20,Big Energy,Latto
21,She Had Me At Heads Carolina,Cole Swindell
22,Jimmy Cooks,Drake Featuring 21 Savage
23,Glimpse Of Us,Joji
24,Ghost,Justin Bieber
25,Moscow Mule,Bad Bunny
26,Numb Little Bug,Em Beihold
27,Like I Love Country Music,Kane Brown
28,Shivers,Ed Sheeran
29,5 Foot 9,Tyler Hubbard
30,Vegas,Doja Cat
31,In A Minute,Lil Baby
32,Get Into It (Yuh),Doja Cat
33,Cold Heart (PNAU Remix),Elton John & Dua Lipa
34,Rock And A Hard Place,Bailey Zimmerman
35,Sticky,Drake
36,Umm Hmm,YoungBoy Never Broke Again
37,Fall In Love,Bailey Zimmerman
38,Last Night Lonely,Jon Pardi
39,Efecto,Bad Bunny
40,Provenza,Karol G
41,Something In The Orange,Zach Bryan
42,Alien Superstar,Beyonce
43,Super Gremlin,Kodak Black
44,Betty (Get Money),Yung Gravy
45,I Know,YoungBoy Never Broke Again
46,Home Ain't Home,YoungBoy Never Broke Again Featuring Rod Wave
47,Left And Right,Charlie Puth Featuring Jung Kook
48,F.N.F. (Let's Go),Hitkidd & GloRilla
49,Cuff It,Beyonce
50,Son Of A Sinner,Jelly Roll
51,Damn Strait,Scotty McCreery
52,Hot Shit,"Cardi B, Ye & Lil Durk"
53,Take My Name,Parmalee
54,Party,Bad Bunny & Rauw Alejandro
55,Numb,Marshmello & Khalid
56,Sleazy Flow,SleazyWorld Go Featuring Lil Baby
57,Ojitos Lindos,Bad Bunny & Bomba Estereo
58,So Good,Halsey
59,Despues de La Playa,Bad Bunny
60,New Truck,Dylan Scott
61,Vette Motors,YoungBoy Never Broke Again
62,Fuck Da Industry,YoungBoy Never Broke Again
63,Free Mind,Tems
64,Whiskey On You,Nate Smith
65,Victoriaâ€™s Secret,Jax
66,Church Girl,Beyonce
67,Free Dem 5's,YoungBoy Never Broke Again
68,Unstoppable,Sia
69,Bones,Imagine Dragons
70,Tarot,Bad Bunny & Jhay Cortez
71,Wishful Drinking,Ingrid Andress With Sam Hunt
72,Last Last,Burna Boy
73,Dah Dah DahDah,Nardo Wick
74,Lost Soul Survivor,YoungBoy Never Broke Again
75,With A Woman You Love,Justin Moore
76,Cooped Up,Post Malone Featuring Roddy Ricch
77,Truth About You,Mitchell Tenpenny
78,Energy,Beyonce Featuring BEAM
79,At The End Of A Bar,Chris Young With Mitchell Tenpenny
80,Pick Me Up,Gabby Barrett
81,She Likes It,Russell Dickerson & Jake Scott
82,Hold Your Own,YoungBoy Never Broke Again
83,Ghost Story,Carrie Underwood
84,Puffin On Zootiez,Future
85,Top Sound,YoungBoy Never Broke Again
86,Never Sleep,"NAV, Travis Scott & Lil Baby"
87,Kamikaze,YoungBoy Never Broke Again
88,Hotel Lobby (Unc And Phew),Quavo & Takeoff
89,My Time,YoungBoy Never Broke Again
90,Thought You Should Know,Morgan Wallen
91,I'm That Girl,Beyonce
92,Cozy,Beyonce
93,Un Ratito,Bad Bunny
94,La Corriente,Bad Bunny & Tony Dize
95,Big 14,"Trippie Redd, Moneybagg Yo & Offset"
96,Until I Found You,Stephen Sanchez
97,Despecha,Rosalia
98,Love Me More,Sam Smith
99,7 Days,YoungBoy Never Broke Again
